month	i_1YR	unempl	fxbis	gdp	corp_spread	mortg_spread	cred	equity	tb	CPI	us_baa	cm2	cloyne
1982-02-01	0.13228314	0.101	5.010695428	3.927823567	1.162165644	-0.09	2.547770155	2.351972794					-0.035048168
1982-03-01	0.12553799	0.102	5.004117099	3.932233835	1.222165644	-0.51	2.55428176	2.342096171					0
1982-04-01	0.12985964	0.102	4.995783444	3.937859677	1.142165644	-0.7	2.572417	2.344265033					0.029496814
1982-05-01	0.12321531	0.103	4.994266744	3.943786378	1.182165644	-0.39	2.580195023	2.373243727					0
1982-06-01	0.12060408	0.103	5.007769833	3.936329827	1.172165644	-0.25	2.585803105	2.366304493					-0.242579332
1982-07-01	0.11501878	0.104	5.010240897	3.936098915	1.202165644	0.15	2.599451393	2.363879514					0.264308468
1982-08-01	0.10110642	0.105	5.011928113	3.940838284	1.332165644	-0.18	2.608238903	2.383711895					-0.812829474
1982-09-01	0.09897464	0.106	5.014841585	3.941046398	1.392165644	0.53	2.619725475	2.443758791					-0.060170771
1982-10-01	0.09069746	0.107	5.021542641	3.944626381	1.692165644	1.35	2.651554882	2.48814964					0
1982-11-01	0.08895175	0.108	4.992417216	3.940583597	1.302165644	-0.71	2.642485397	2.515381991					0
1982-12-01	0.10289652	0.109	4.947108587	3.950149713	1.232165644	-1.53	2.656317457	2.504894218					0
1983-01-01	0.10598667	0.109	4.910112999	3.957097319	1.192165644	-1.82	2.660414619	2.536033215					1.916629196
1983-02-01	0.10447575	0.11	4.896306716	3.963620958	1.462165644	-1.74	2.666369278	2.569696278					0
1983-03-01	0.10331844	0.11	4.875270341	3.960543826	1.672165644	-1.33	2.674233846	2.588539366					0.221221469
1983-04-01	0.10052753	0.11	4.91826347	3.965980079	1.732165644	-1.01	2.68398958	2.637502675					-0.307610166
1983-05-01	0.09952049	0.111	4.944198789	3.971801973	1.672165644	-1.11	2.691320589	2.622852954					0
1983-06-01	0.10019671	0.112	4.949940961	3.96616416	1.732165644	0.11	2.70327984	2.671542722					-0.232817519
1983-07-01	0.10520907	0.112	4.94620884	3.976612885	1.422165644	-0.32	2.703615783	2.661000962					0
1983-08-01	0.10457628	0.112	4.951388588	3.97739971	1.432165644	-0.51	2.712627274	2.688357277					0.553108843
1983-09-01	0.09864734	0.113	4.949940961	3.983637972	1.602165644	-0.04	2.731806242	2.672434782					0
1983-10-01	0.09692825	0.113	4.933666869	3.988282967	1.482165644	0.19	2.734292958	2.641649191					-0.399221639
1983-11-01	0.09455624	0.114	4.938702549	3.989128559	1.522165644	0.53	2.742811434	2.679542764					0
1983-12-01	0.09596889	0.114	4.926912939	3.993579441	1.422165644	0.44	2.752941271	2.708340566					0
1984-01-01	0.09519645	0.115	4.924156072	4.00052361	1.612165644	0.46	2.76377406	2.763968538					0
1984-02-01	0.09363947	0.115	4.923235424	4.002217098	1.562165644	0.37	2.775891601	2.761932292					0
1984-03-01	0.09044543	0.116	4.907525304	3.995744999	1.552165644	0.58	2.793003013	2.811634431					-0.157622862
1984-04-01	0.09161488	0.116	4.896961571	3.992981189	1.392165644	-0.38	2.801278507	2.828557912					0
1984-05-01	0.10006165	0.116	4.900591866	3.99250023	1.332165644	-1.02	2.817278523	2.808720959					0.667507931
1984-06-01	0.10160826	0.115	4.892733851	3.996542195	1.532165644	-1.23	2.833208092	2.765391447					0.612666233
1984-07-01	0.11247046	0.115	4.881790332	3.993833041	1.922165644	-1.47	2.831413834	2.730880325					0
1984-08-01	0.10591748	0.114	4.884077059	3.992219327	1.882165644	1.4	2.829021314	2.795405705					-1.608286868
1984-09-01	0.10697945	0.114	4.873931454	4.006900237	1.732165644	1.59	2.821747568	2.8283672					0
1984-10-01	0.10559627	0.114	4.85560299	4.010723423	1.622165644	1.75	2.842265289	2.843886058					0
1984-11-01	0.09711014	0.113	4.855375537	4.007107761	1.572165644	2.05	2.856985507	2.88220351					-1.268816623
1984-12-01	0.09859202	0.113	4.837704394	4.018709002	1.512165644	1.03	2.873418871	2.925530948					0
1985-01-01	0.10993916	0.112	4.806824198	4.021566314	1.442165644	0.57	2.889830165	2.971200985					2.324862817
1985-02-01	0.11908059	0.112	4.807778928	4.018032367	1.432165644	1.47	2.889258282	2.986949342					0
1985-03-01	0.11858755	0.111	4.830345439	4.029202526	1.262165644	1.66	2.893706819	2.999404012					-0.569903883
1985-04-01	0.1135844	0.111	4.882454759	4.031258596	1.182165644	2.78	2.899361984	2.996345167					0.196824966
1985-05-01	0.11448483	0.111	4.891418157	4.039274574	1.112165644	2.62	2.900623212	3.020557882					0
1985-06-01	0.11234481	0.11	4.905724345	4.045992619	1.102165644	2.84	2.914828464	2.99779526					0
1985-07-01	0.1079877	0.11	4.939539369	4.031733731	1.232165644	3.11	2.924168001	2.963066135					-0.464344254
1985-08-01	0.10447919	0.11	4.920610471	4.038643759	1.172165644	3.19	2.939436256	3.006930671					0
1985-09-01	0.10554539	0.11	4.916125042	4.046150703	1.102165644	2.21	2.937701046	3.017089488					0
1985-10-01	0.10523111	0.11	4.904858732	4.041825661	1.072165644	2.3	2.959997708	3.039267502					0
1985-11-01	0.10776125	0.11	4.900591866	4.051735364	1.042165644	2.1	2.970929734	3.094261078					0
1985-12-01	0.11134443	0.11	4.887827752	4.043971067	1.112165644	2.01	2.976977589	3.080274836					0
1986-01-01	0.11980235	0.11	4.857874686	4.054536543	1.192165644	1.66	2.985182827	3.087366016			2.24		1.06861507
1986-02-01	0.11613067	0.11	4.826606535	4.058370439	1.152165644	2.06	2.991814373	3.146803592			2.41		0
1986-03-01	0.10339345	0.11	4.829723259	4.066140493	1.102165644	3.03	3.003760532	3.234785506			2.72		-0.837226098
1986-04-01	0.09150795	0.11	4.852337867	4.072115397	1.122165644	3.12	3.030724975	3.270840057			2.89		-0.458093053
1986-05-01	0.09032411	0.11	4.852261807	4.067107224	1.042165644	2.68	3.038204112	3.239474698			2.58		-0.31279688
1986-06-01	0.08997252	0.111	4.847381889	4.075708379	1.092165644	1.57	3.043812685	3.244896816			2.54		0
1986-07-01	0.0945006	0.111	4.823636623	4.070358135	1.112165644	1.4	3.054040689	3.241748			2.86		0
1986-08-01	0.09421552	0.111	4.784528614	4.072144942	1.122165644	1.35	3.066178702	3.230457046			3.02		0
1986-09-01	0.10025153	0.11	4.770347468	4.087597912	1.122165644	0.73	3.08628262	3.253785763			2.75		0
1986-10-01	0.10858033	0.11	4.731803484	4.090997618	1.242165644	0.13	3.097877804	3.235928146			2.81		1.065355861
1986-11-01	0.10836269	0.11	4.740346894	4.093423671	1.252165644	1.16	3.110954881	3.266419074			2.81		0
1986-12-01	0.10872618	0.109	4.738899654	4.096015856	1.242165644	1.27	3.121606638	3.273165497			2.86		0
1987-01-01	0.10317212	0.109	4.738729252	4.08874253	1.182165644	1.98	3.118817868	3.345543017			2.64		0
1987-02-01	0.09944996	0.108	4.739155201	4.103925008	1.112165644	2.27	3.137717597	3.423817223			2.40		0
1987-03-01	0.09091198	0.107	4.777913915	4.102618264	1.172165644	3.08	3.152959873	3.47505794			2.36		-0.490770809
1987-04-01	0.09000296	0.106	4.785748772	4.104090072	1.212165644	3	3.153926434	3.462896375			2.02		0
1987-05-01	0.08325015	0.104	4.798431198	4.110378232	1.432165644	2.62	3.176225082	3.541436675			1.90		-0.715739416
1987-06-01	0.08565217	0.103	4.788752142	4.115367736	1.342165644	2.34	3.190487549	3.598397713			2.12		0
1987-07-01	0.09055315	0.101	4.789724275	4.129628622	1.182165644	1.98	3.199853533	3.656463326			2.16		0
1987-08-01	0.10006955	0.099	4.785342218	4.131802626	1.212165644	1.15	3.211167931	3.613124487			2.04		1.76774555
1987-09-01	0.10036203	0.097	4.794087213	4.131493426	1.602165644	1.07	3.224417566	3.634730665			1.88		0
1987-10-01	0.09671684	0.096	4.79987501	4.136332958	1.552165644	1.14	3.235288683	3.548330684			2.09		0
1987-11-01	0.0856848	0.094	4.817906398	4.138847581	1.582165644	1.96	3.244166359	3.285195534			2.37		-1.347025407
1987-12-01	0.0872455	0.092	4.821599483	4.146380812	1.732165644	0.69	3.25982261	3.305284695			2.30		-0.730794847
1988-01-01	0.08998675	0.091	4.813013711	4.159574066	1.382165644	0.54	3.274388067	3.370474123			2.40		0
1988-02-01	0.09154509	0.089	4.806824198	4.153346412	1.462165644	0.75	3.286051175	3.364801453			2.41		0.435501246
1988-03-01	0.08732907	0.087	4.835927715	4.160500414	1.722165644	1.05	3.299609493	3.399334893			2.20		-0.489413185
1988-04-01	0.08370214	0.086	4.854996332	4.159210265	1.622165644	0.96	3.318369399	3.389262788			2.18		-0.52329501
1988-05-01	0.08397039	0.084	4.857572091	4.162612893	1.612165644	0.37	3.327836737	3.391437411			1.95		-0.455903235
1988-06-01	0.08972573	0.083	4.835231632	4.165588714	1.622165644	0.24	3.351654583	3.427700315			2.08		0.356877631
1988-07-01	0.09887735	0.082	4.829489841	4.171712331	1.542165644	0.18	3.369348491	3.438638494			2.06		0.506116445
1988-08-01	0.10361293	0.081	4.841709637	4.177382198	1.842165644	1.61	3.381187943	3.427386031			1.95		1.255365123
1988-09-01	0.10710261	0.08	4.829645459	4.179881121	1.482165644	1.68	3.398670424	3.390024444			1.92		0
1988-10-01	0.10466922	0.079	4.838630106	4.179272763	1.652165644	3.12	3.412898848	3.430733314			1.61		0
1988-11-01	0.11003051	0.077	4.846464247	4.184495266	1.642165644	2.95	3.422457335	3.421606579			1.52		0.598951673
1988-12-01	0.11399609	0.076	4.856815204	4.183510191	1.702165644	2.71	3.433752692	3.384789971			1.54		0
1989-01-01	0.11286702	0.074	4.858781921	4.184662929	1.642165644	3.27	3.44603914	3.449970644			1.56		0
1989-02-01	0.1119183	0.073	4.853933794	4.189849134	1.712165644	3.84	3.460700778	3.531666752			1.44		0
1989-03-01	0.11405051	0.071	4.840555924	4.186413601	1.732165644	3.68	3.476686456	3.548052119			1.31		0
1989-04-01	0.11689953	0.07	4.834999497	4.19811014	1.912165644	3.38	3.491051052	3.538721953			1.44		0
1989-05-01	0.11709913	0.069	4.822305117	4.191627983	1.812165644	3.41	3.501042868	3.569277706			1.60		0.328912354
1989-06-01	0.12303823	0.069	4.792877194	4.18927315	1.662165644	3.04	3.513377142	3.570912881			1.76		0
1989-07-01	0.11844682	0.068	4.803954526	4.188803242	1.982165644	3.45	3.523742075	3.612602249			1.86		0
1989-08-01	0.11710796	0.068	4.79770851	4.198697565	1.942165644	3.69	3.544666589	3.652539297			1.76		0
1989-09-01	0.12226827	0.068	4.79400659	4.196013164	2.152165644	3.39	3.559533151	3.660039957			1.72		-0.353750921
1989-10-01	0.1284951	0.067	4.777750035	4.190908505	2.182165644	3.48	3.555145697	3.579228937			1.80		0.777636006
1989-11-01	0.12966062	0.067	4.758889355	4.194437845	2.322165644	4.05	3.561694085	3.576975973			1.94		0
1989-12-01	0.13160612	0.067	4.745099512	4.198180545	2.232165644	3.98	3.573055173	3.635581873			1.98		0
1990-01-01	0.13467813	0.066	4.759473735	4.19875495	2.592165644	3.71	3.577833226	3.643379184			1.74		0
1990-02-01	0.13573665	0.066	4.777913915	4.203176207	2.332165644	3.36	3.588264514	3.610772263			1.67		0
1990-03-01	0.14160486	0.066	4.750840347	4.208491202	2.392165644	2.98	3.60112666	3.583630076			1.62		0
1990-04-01	0.14134844	0.066	4.752606612	4.207869339	2.242165644	2.67	3.601391837	3.558307672			1.52		0
